Oct 4 2014 14:10:00,Cheshire Panthers,Cheshire Wire,Stanney Oaks Leisure Centre
Oct 11 2014 14:00:00,Cheshire Wire,Barrow Thorns,Priestley College
Oct 25 2014 12:00:00,Cheshire Wire,Preston Pride,Priestley College
Nov 1 2014 13:00:00,Manchester Magic,Cheshire Wire,Amaechi Basketball Centre
Nov 15 2014 16:40:00,Cheshire Wire,Stockport Falcons,Warrington Ball Hall
Nov 30 2014 12:45:00,Cheshire Wire,Oldham Titans,Culcheth High School Community Campus
Dec 6 2014 15:30:00,Trafford,Cheshire Wire,Amaechi Basketball Centre
Dec 13 2014 12:00:00,Cheshire Wire,Cheshire Panthers,Priestley College
Dec 20 2014 16:00:00,Stockport Falcons,Cheshire Wire,Wright Robinson Sports College
Jan 11 2015 16:00:00,Barrow Thorns,Cheshire Wire,Hoops Basketball Centre
Jan 25 2015 12:00:00,Preston Pride,Cheshire Wire,St. Augustines New Avenham Centre
Jan 31 2015 12:00:00,Cheshire Wire,Manchester Magic,Priestley College
Feb 22 2015 14:15:00,Oldham Titans,Cheshire Wire,Oldham Sixth Form College
Feb 28 2015 12:00:00,Cheshire Wire,Trafford,Priestley College
